NAME,address1,CITY,STATE,,WEBSITE,EMAIL
Throckmorton Theatre,142 Throckmorton Ave,Mill Valley,5,94941,http://www.142throckmortontheatre.com,info@142throckmortontheatre.org
24th Street Theatre,,Los Angeles,5,,,
2nd Space Theatre,,Fresno,5,,,
6th Street Playhouse,,Santa Rosa,5,,,
A Noise Within Theatre,,Pasadena,5,,,
Act One Community Theater,,Temecula,5,,,
Act Out Theatre Company,,Long Beach,5,,,
Ahmanson Theatre,,Los Angeles,5,,,
Almaden Community Center,,San Jose,5,,,
Altarena Playhouse,,Alameda,5,,,
Another Theatre Company,,Antioch,5,,http://www.angelfire.com/ca6/atc/,
Arena Theater,,Point Arena,5,,,
Art Court Theatre,,Sacramento,5,,,
Attic Community Theater,,Santa Ana,5,,,
B Street Theatre,,Sacramento,5,,,
Bakersfield College Theater,,Bakersfield,5,,,
Bakersfield Community Theatre,,Bakersfield,5,,,
Bankhead Theater,,Livermore,5,,,
BareStage Community Theatre,,Red Bluff,5,,http://www.barestage.com/,
Bay Area Stage Theatre,,Vallejo,5,,,
Bayside Performing Arts Center,,San Mateo,5,,,
BeeKay Theatre,,Tehachapi,5,,,
Bellflower Theatre Co,,Bellflower,5,,,
Benvenuti Performing Arts Center,,Sacramento,5,,,
Berkeley Community Theater,,Berkeley,5,,,
Berkeley Playhouse,,Berkeley,5,,,
Big Bear Performing Arts Center,,Big Bear Lake,5,,,
Blue MountainTheater,,West Point,5,,http://www.bluemountaintheater.com,
Broadway At Music Circus,,Sacramento,5,,,
Broadway By the Bay,,Redwood City,5,,,
Broadway Sacramento,,Sacramento,5,,,
Bus Barn Stage Company,,Los Altos,5,,http://www.busbarn.org/,
Byron Dick Seaver Theatre Complex,,Claremont,5,,,
Cabrillo Playhouse,,San Clemente,5,,,
"California Center for the Arts, Escondido",,Escondido,5,,,
California Magic Club,,Martinez,5,,,
California Theatre,,Pittsburg,5,,,
California Theatre of the Performing Arts,,San Bernardino,5,,,
Camarillo Skyway Playhouse,,Camarillo,5,,,
Camino Real Playhouse,,San Juan Capistrano,5,,,
Canyon Theatre Guild,,Newhall,5,,http://www.canyontheatre.org/,
Carlsbad Community Theatre (Patrons of the Arts),,Carlsbad,5,,,
